@relation olcm_8MVs_1000

@attribute mv1 {0,1}
@attribute mv2 {0,1}
@attribute mv3 {0,1}
@attribute mv4 {0,1}
@attribute mv5 {0,1}
@attribute mv6 {0,1}
@attribute mv7 {0,1}
@attribute mv8 {0,1}

@data
0,1,1,0,0,0,0,1
0,1,0,0,0,1,1,1
0,0,1,0,1,0,1,1
0,0,1,0,1,0,1,1
1,1,1,0,0,1,0,0
0,1,1,1,1,1,0,0
0,0,1,0,0,1,1,0
1,1,0,0,0,0,1,0
1,0,0,0,0,1,1,1
1,0,1,0,1,1,0,0
1,1,1,0,1,0,0,0
1,0,1,1,0,1,1,1
0,0,1,0,1,0,1,1
1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,1
1,1,0,1,1,1,1,0
1,1,1,0,1,0,0,0
1,0,0,1,1,1,1,1
0,0,0,1,1,1,0,1
1,0,0,0,1,1,1,0
1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1
1,0,0,1,1,0,0,1
1,1,1,1,0,1,0,1
1,1,0,0,1,1,0,1
0,1,0,0,1,1,1,0
1,0,1,1,1,1,1,0
0,1,1,0,1,1,1,1
1,1,1,0,0,1,0,0
0,0,1,1,1,0,0,0
1,0,1,0,0,0,0,0
0,1,0,0,1,1,0,0
0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0
1,0,0,1,1,1,0,1
0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,1
0,1,0,0,1,1,0,1
1,0,0,1,1,1,1,0
1,0,0,1,1,1,1,1
0,1,0,1,0,0,0,0
0,1,1,1,1,0,1,0
0,0,0,1,0,1,0,1
1,1,1,0,0,1,0,1
0,1,1,0,1,0,1,0
1,1,0,1,1,1,1,0
1,1,1,0,0,1,0,0
1,1,0,0,0,0,1,1
0,1,1,0,1,1,0,0
1,0,0,1,1,1,0,0
1,0,1,1,1,1,0,1
0,1,1,1,1,1,0,0
0,1,0,0,0,0,1,1
0,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1
1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0
1,1,1,0,1,1,1,1
0,1,1,0,1,0,0,1
1,1,0,1,0,1,1,0
1,1,0,0,1,1,0,0
0,0,1,1,0,1,1,1
0,1,1,0,0,1,0,1
1,1,0,0,0,1,0,0
0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0
0,0,0,1,1,0,0,0
1,1,0,0,1,1,1,0
1,0,1,1,1,1,0,1
1,1,0,0,0,1,0,1
0,1,1,0,1,0,1,0
0,1,1,0,0,1,0,1
1,0,1,0,1,1,0,1
1,1,0,1,1,1,1,0
1,0,1,1,1,1,0,1
1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0
0,1,0,1,0,1,1,1
1,0,1,1,0,0,1,1
1,1,0,1,0,1,0,1
0,0,1,0,1,0,1,1
1,1,1,1,1,1,0,0
0,0,1,0,1,0,1,0
0,0,1,1,0,0,1,1
1,1,1,1,0,1,1,0
1,0,1,0,0,1,1,0
1,1,1,0,1,1,1,1
0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0
1,0,0,1,1,0,0,1
1,1,1,1,0,1,0,1
1,1,0,0,0,1,0,1
1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1
0,1,1,0,0,0,1,0
0,1,1,0,1,0,1,0
1,1,1,0,0,1,0,0
0,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0
1,1,1,1,0,1,1,0
0,1,0,1,1,1,1,0
0,1,0,1,0,1,0,0
1,1,0,0,0,1,0,1
0,1,0,0,1,0,0,1
1,0,1,1,0,1,0,0
0,0,1,1,1,1,1,1
1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,0
0,1,0,0,1,1,1,1
0,0,0,1,1,1,0,1
1,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0
0,1,1,0,1,1,1,0
1,1,0,0,1,0,1,1
1,1,1,1,0,1,1,0
0,1,1,0,0,0,1,0
1,1,0,1,1,1,1,0
1,1,0,0,0,1,1,0
1,0,1,1,1,1,0,0
0,0,1,0,0,0,1,0
0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,0
0,0,0,1,0,1,1,0
1,1,1,1,1,0,1,1
1,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1
0,0,1,1,1,1,1,1
1,1,1,1,0,0,1,1
1,0,0,0,0,1,1,1
0,0,1,0,1,0,0,1
0,1,1,0,0,0,0,0
1,1,1,1,0,1,1,0
1,0,1,1,1,1,1,1
0,1,1,1,0,0,0,0
0,1,0,0,0,0,1,1
0,0,0,1,0,0,0,1
0,1,0,0,1,1,1,1
1,1,0,0,0,1,1,1
0,1,0,1,1,1,1,1
0,1,1,0,0,0,0,1
1,1,1,0,0,0,1,1
1,1,1,1,0,1,0,1
1,1,0,1,0,1,0,1
1,0,1,1,1,0,0,1
1,0,0,1,0,1,0,0
0,0,1,1,0,1,1,1
1,1,0,1,1,1,1,0
1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1
1,1,1,1,1,1,0,1
1,0,0,0,1,0,1,0
0,0,0,1,1,1,0,0
1,1,1,1,0,1,0,1
0,1,1,0,0,1,1,1
0,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1
1,0,1,1,0,1,0,1
0,1,0,0,1,1,0,1
1,1,0,0,0,1,1,0
1,1,1,0,0,0,0,1
1,1,1,0,0,1,1,0
0,0,1,0,0,1,0,0
1,1,0,0,1,1,0,0
0,1,1,1,0,1,1,1
0,1,0,1,1,1,1,1
1,0,0,1,1,0,0,1
0,1,0,1,1,1,0,0
0,0,1,0,1,1,0,1
0,0,1,0,1,1,1,1
0,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0
0,0,1,1,0,1,0,0
0,0,1,1,0,1,1,1
0,1,1,1,0,1,1,1
0,1,1,0,0,0,1,0
0,1,1,1,0,1,0,1
1,0,1,1,0,1,0,1
1,1,1,0,1,0,1,0
0,1,0,1,0,0,0,0
1,1,0,0,0,1,0,0
1,1,0,1,1,1,1,1
1,0,1,1,0,1,0,1
1,0,1,0,1,0,1,1
1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1
0,1,1,0,0,1,0,1
1,1,0,1,1,1,1,0
1,0,1,1,1,1,1,0
0,1,1,0,0,1,1,1
1,0,1,0,0,1,0,0
1,0,1,1,1,1,1,1
1,0,1,0,1,0,1,0
1,1,1,0,1,1,0,1
0,0,0,1,1,0,1,0
0,1,1,0,1,1,0,0
0,1,0,0,1,1,0,0
0,1,1,1,0,1,1,0
0,1,1,0,1,0,0,1
1,1,1,1,0,1,0,1
0,1,0,0,1,0,0,1
1,1,0,0,1,1,0,1
1,1,1,1,0,1,0,1
1,0,1,0,0,1,0,0
0,1,1,0,0,1,0,0
0,1,1,1,1,1,1,1
0,1,1,0,0,0,1,1
1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,1
1,1,1,1,1,0,1,1
1,0,0,1,0,0,0,1
1,1,0,1,0,1,0,1
0,0,1,1,1,1,0,1
1,0,0,1,0,1,0,1
1,1,0,1,1,1,0,0
1,0,0,1,0,1,0,1
1,0,1,1,0,1,0,0
0,0,1,1,0,1,0,1
0,1,0,0,1,1,1,1
1,0,0,1,1,0,1,0
0,0,1,0,1,1,0,1
1,1,0,0,0,0,1,1
0,1,1,0,1,0,0,0
1,1,0,1,0,1,0,1
1,1,0,1,1,1,0,0
1,0,1,1,0,1,1,0
1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,0
1,0,0,1,1,0,0,1
0,1,1,0,0,0,1,1
1,1,1,0,0,0,0,1
1,1,0,0,1,1,0,1
1,0,0,1,0,1,1,1
1,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1
1,0,1,0,0,0,1,1
0,0,0,1,0,1,1,1
1,1,1,0,0,0,1,0
0,1,1,0,0,0,1,1
1,1,0,1,1,1,0,0
1,1,1,0,1,1,0,0
1,0,1,1,0,1,1,1
0,0,1,1,1,0,0,1
1,1,0,0,1,1,1,0
0,1,1,1,1,1,1,0
0,0,1,0,0,1,1,1
1,1,0,1,1,1,0,1
1,1,0,0,1,1,1,0
1,0,0,1,0,1,1,1
0,0,1,0,1,1,1,0
1,1,0,1,0,0,0,1
1,1,1,0,0,0,0,1
0,1,1,0,1,0,1,1
0,1,1,1,0,1,0,1
0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,1
0,0,1,0,0,0,0,1
1,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1
0,1,1,0,0,0,1,1
1,0,1,0,0,0,1,1
1,1,1,1,0,1,1,0
0,1,1,0,0,1,0,0
0,1,1,0,0,0,1,0
1,0,0,0,1,1,1,1
0,1,1,1,1,0,0,0
0,0,0,0,1,0,1,0
0,1,1,1,1,1,0,1
1,1,0,0,1,1,0,0
0,0,0,0,1,1,0,0
1,0,0,0,1,1,1,0
1,1,1,1,0,0,1,1
0,0,1,1,0,1,1,1
0,1,1,1,0,0,0,0
0,0,0,1,1,1,0,1
1,1,0,1,1,0,0,1
1,0,0,1,1,0,0,0
1,0,1,0,1,0,0,1
1,0,0,1,1,0,0,1
1,0,1,1,1,1,0,0
1,1,0,1,0,0,1,1
0,1,0,0,1,0,0,1
0,0,0,0,1,0,1,1
1,0,1,0,1,1,1,0
0,0,0,1,0,1,0,0
1,1,0,1,0,1,0,1
0,0,0,0,0,0,1,1
1,1,1,0,0,0,1,1
1,1,0,1,1,0,1,1
1,0,1,0,0,1,0,0
0,1,1,0,0,0,1,1
0,1,1,1,1,1,1,1
0,1,1,1,1,0,1,1
0,0,1,1,1,1,1,0
1,1,0,0,0,1,0,1
1,0,1,1,1,1,0,0
0,1,0,0,1,1,1,1
1,1,0,0,0,0,0,0
1,1,0,0,1,1,1,1
0,0,1,1,1,0,0,1
0,0,1,1,1,1,1,0
0,0,0,0,0,0,0,1
1,0,0,1,1,1,0,1
1,0,0,0,1,0,0,1
1,0,0,0,1,1,1,1
1,1,0,0,0,1,0,1
1,0,1,0,1,1,1,0
0,1,1,1,1,0,1,1
0,1,0,1,1,1,1,0
1,0,0,0,1,1,1,0
0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,0
1,0,0,1,1,1,0,1
0,1,1,1,1,1,1,1
0,0,1,1,0,1,0,1
1,0,0,1,1,1,1,0
0,1,1,0,1,0,1,0
1,1,1,1,1,1,1,0
0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,1
1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,1
1,1,0,0,0,1,0,0
0,0,0,0,1,0,1,1
1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1
0,0,1,0,1,1,1,0
1,0,0,1,0,1,0,0
0,1,0,1,1,1,0,1
1,0,1,0,1,1,1,0
0,1,1,0,1,1,0,1
0,0,0,1,0,1,1,1
1,1,1,1,0,1,0,1
0,1,1,1,0,0,1,1
1,0,0,1,1,1,1,0
0,0,1,1,0,1,1,0
0,1,1,1,1,1,0,0
1,1,1,1,0,0,1,1
0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1
1,0,1,1,1,1,0,1
0,1,0,1,1,0,1,1
1,0,1,1,1,1,0,0
1,0,0,0,0,1,0,1
1,1,1,0,0,1,1,0
0,1,1,0,1,0,1,0
1,0,1,1,0,1,1,1
1,1,1,1,0,1,0,0
1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1
1,0,0,1,1,1,1,0
0,1,1,0,0,0,1,1
0,0,1,1,0,1,0,0
0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0
0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,1
0,1,1,0,0,1,1,1
1,0,1,1,0,1,0,0
1,1,0,1,0,0,0,1
1,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0
1,1,1,1,0,0,1,1
1,1,1,0,0,0,0,1
0,1,0,1,0,1,0,0
1,1,0,1,0,0,1,1
0,1,1,0,0,0,1,0
1,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0
1,0,1,1,0,1,1,1
1,1,1,0,1,1,1,1
1,0,1,0,0,1,0,0
0,1,1,1,1,1,1,1
0,1,0,1,1,1,0,0
0,1,1,1,0,1,1,0
1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,1
0,1,1,1,1,1,0,0
0,1,0,0,1,1,1,1
0,1,1,0,0,1,0,1
1,0,0,1,1,1,0,0
0,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1
0,1,1,1,1,0,0,1
1,1,0,1,1,1,0,0
1,0,0,1,1,1,0,0
0,1,1,1,0,1,0,1
0,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,1
0,1,1,0,0,0,1,0
0,1,1,1,1,0,1,1
0,1,1,1,1,0,1,0
0,1,0,0,1,0,1,0
0,1,0,1,0,1,0,0
1,1,1,0,1,0,1,0
1,1,0,0,1,0,1,1
0,1,0,0,0,0,0,1
1,1,0,0,0,1,0,1
1,1,1,1,1,1,1,0
0,0,1,1,0,1,1,0
1,0,0,1,0,1,1,0
1,0,1,1,1,1,1,1
0,1,1,0,1,0,1,0
0,0,0,0,1,0,0,1
0,1,1,1,1,1,0,1
1,0,1,0,0,0,0,0
0,1,0,0,0,1,1,1
0,1,0,0,0,1,1,1
0,1,0,0,1,1,1,1
0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1
0,1,0,1,1,1,1,0
1,0,1,0,0,1,0,1
1,0,1,1,1,1,0,1
0,0,1,1,0,1,1,0
0,1,0,1,0,0,0,1
1,0,0,0,0,1,1,1
0,1,1,1,0,0,1,1
1,1,0,1,1,0,0,0
0,0,1,0,0,1,1,1
1,1,1,1,1,0,0,1
0,0,1,0,1,1,1,1
0,1,1,0,0,1,1,0
1,1,1,1,0,1,0,1
1,1,1,0,1,1,0,0
1,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,0
1,1,1,0,1,0,1,1
0,1,0,1,0,1,0,1
1,1,0,0,0,1,0,1
1,0,1,0,0,1,1,1
1,1,0,1,0,1,0,1
0,1,1,1,1,1,0,1
0,0,1,1,0,1,1,1
1,0,1,1,0,1,1,1
1,1,0,0,0,0,0,1
1,1,0,0,0,1,0,0
0,1,1,0,0,1,0,1
1,1,1,0,0,1,1,0
1,1,0,0,0,0,1,1
0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0
0,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,0
1,0,0,1,0,1,1,0
0,0,0,1,1,1,0,0
0,1,1,0,0,1,0,1
0,1,0,1,1,1,0,0
1,1,1,1,0,1,0,0
1,0,0,0,0,1,1,1
0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1
1,1,0,1,1,1,0,1
0,1,1,0,1,0,0,0
1,0,1,0,1,1,1,0
1,1,1,1,0,1,0,1
1,0,1,0,0,1,1,0
1,1,0,1,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,0
1,0,1,0,1,0,1,1
1,0,1,1,0,1,1,1
0,1,1,1,0,1,1,1
0,1,1,1,1,0,1,0
1,1,1,1,0,1,1,0
0,1,1,0,0,0,1,1
0,0,0,0,0,1,0,1
0,1,0,1,0,1,1,0
1,1,1,0,1,1,0,0
1,1,1,0,0,0,1,1
0,1,1,0,1,0,1,1
0,1,1,1,0,0,0,1
1,1,0,0,1,1,0,1
1,1,0,0,1,1,1,0
0,1,1,0,0,0,1,0
0,0,0,0,0,0,1,1
1,1,0,1,0,0,0,0
1,1,1,1,0,0,1,0
0,1,0,0,0,0,1,0
0,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0
1,0,0,1,0,1,0,0
1,1,1,0,1,1,1,0
0,1,0,1,1,1,0,1
1,1,1,1,0,0,0,1
0,1,1,0,0,0,1,1
1,0,1,0,0,0,0,1
1,0,1,0,0,1,0,0
0,1,1,0,0,1,0,0
1,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1
1,1,1,0,1,0,0,1
0,1,1,0,0,1,0,0
1,0,1,1,0,1,1,0
1,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0
1,1,1,0,1,1,0,0
1,1,1,1,0,1,1,0
0,1,0,0,0,0,0,1
0,1,1,1,1,1,1,0
1,1,1,1,0,0,0,0
1,1,0,1,1,1,1,1
1,1,0,0,1,1,0,0
0,0,1,1,0,0,0,1
0,0,1,0,0,0,1,0
1,0,1,0,0,0,1,1
0,1,0,0,0,1,1,0
0,1,1,1,1,1,0,0
1,1,0,1,1,1,0,1
1,0,1,1,0,1,1,0
0,1,0,0,0,1,1,0
0,0,1,1,0,1,0,1
1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1
0,1,1,0,1,0,0,0
1,0,0,1,0,1,0,1
0,0,0,0,0,0,1,1
1,1,0,0,0,1,1,1
1,1,1,0,0,1,0,0
1,1,1,0,0,1,1,1
1,1,0,0,1,0,0,0
1,1,0,0,0,0,0,1
1,1,0,0,1,1,0,1
0,1,1,1,0,0,0,0
0,1,0,0,0,1,1,1
0,1,1,1,0,1,0,1
1,0,1,1,0,1,1,0
0,0,1,0,1,1,0,1
0,1,1,1,1,0,0,1
0,1,0,0,1,1,0,0
1,1,1,1,0,1,1,0
0,1,0,0,1,1,0,1
1,1,1,1,0,1,1,1
1,1,1,0,0,0,0,1
1,1,1,1,1,1,0,1
1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,1
0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0
0,1,0,1,0,1,1,1
0,1,0,1,0,1,0,0
1,0,0,1,1,0,0,1
1,0,1,1,0,1,1,1
1,1,0,0,0,0,1,1
0,1,1,0,1,1,0,1
1,0,0,0,0,0,1,0
1,1,0,1,1,1,0,1
1,0,0,1,1,0,1,1
0,1,1,1,0,1,1,1
0,0,1,0,1,1,0,1
1,0,0,0,0,0,1,1
0,1,1,0,1,0,1,1
1,0,1,1,1,0,1,1
1,1,0,0,0,0,1,0
0,0,1,1,0,1,0,1
0,1,0,1,1,0,1,1
1,1,1,0,1,1,0,0
0,1,1,0,0,1,0,0
0,1,1,1,1,1,1,1
0,1,0,1,0,0,0,0
1,1,1,0,1,1,0,0
0,0,1,1,0,1,0,1
1,0,0,1,0,0,0,1
1,0,1,1,1,1,1,0
0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0
0,1,1,0,0,1,1,1
0,0,1,0,0,1,0,1
1,1,1,0,0,1,1,0
0,0,1,0,1,1,0,1
0,0,1,1,0,0,1,1
0,1,1,1,1,1,1,0
0,1,0,1,1,1,1,1
0,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1
0,1,0,0,0,1,1,0
1,0,0,0,1,1,1,0
1,0,1,0,1,1,1,0
1,0,0,1,0,1,1,0
0,1,1,0,0,0,1,1
1,1,0,0,1,0,1,1
1,1,1,0,0,0,1,1
1,1,1,0,1,1,1,1
1,1,0,1,0,1,1,1
0,1,1,0,1,1,0,1
0,1,0,0,0,0,1,0
0,1,0,1,0,1,0,1
0,0,1,1,1,1,1,1
0,1,1,0,1,1,1,1
0,1,0,1,1,1,0,0
1,0,0,1,0,1,0,1
0,0,1,1,0,1,0,0
1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0
0,0,0,1,1,1,0,1
0,0,1,1,1,0,0,1
1,1,0,0,0,1,1,0
1,0,0,1,0,0,1,1
0,0,0,1,1,0,1,0
0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1
1,1,0,0,0,1,1,0
0,1,1,0,0,1,1,1
1,1,1,0,1,0,0,1
1,1,1,1,1,1,0,1
0,1,1,1,0,1,1,0
0,1,1,0,0,1,1,1
1,1,0,1,1,1,1,0
0,0,1,1,1,0,0,0
0,1,0,1,0,1,1,1
0,0,1,0,0,0,0,1
1,1,0,1,0,0,0,1
1,1,0,1,1,1,1,1
0,0,0,1,0,0,0,1
0,1,0,0,0,1,1,1
0,1,0,1,0,1,0,1
1,0,0,0,0,0,1,1
1,1,0,1,1,0,1,1
0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1
0,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1
1,1,0,1,0,1,1,1
0,1,1,0,0,1,0,1
1,0,0,0,1,0,1,0
0,1,1,1,0,1,0,1
0,1,1,0,0,0,1,1
1,0,1,1,1,1,0,1
1,1,1,1,0,1,0,0
1,0,1,0,0,1,1,0
0,1,1,1,0,1,0,1
1,0,0,0,0,1,0,1
1,0,1,1,1,1,0,1
1,1,0,0,1,1,1,1
0,0,0,1,1,1,1,0
0,0,1,1,1,0,0,0
1,1,0,1,0,1,1,1
0,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,1
0,0,1,1,1,1,1,0
1,1,1,0,0,1,0,0
0,1,0,0,1,0,0,1
1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,0
0,0,1,1,0,1,0,1
0,0,0,0,0,1,1,1
1,0,1,1,0,1,0,1
0,1,1,0,1,1,0,1
1,0,1,1,0,1,0,1
0,1,1,0,1,1,0,0
1,1,1,1,0,0,0,1
1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,0
1,1,0,1,1,0,0,0
0,0,1,1,0,1,1,1
0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,1
1,1,0,0,1,0,1,1
1,0,1,1,0,1,1,1
0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0
1,1,1,0,0,1,0,0
1,1,0,1,1,1,1,1
0,0,1,0,0,0,1,1
1,0,1,1,1,1,1,1
1,0,0,0,0,1,1,1
0,0,1,1,1,1,0,1
0,0,1,0,0,1,0,0
0,1,1,1,1,1,1,0
0,1,1,0,1,0,1,0
0,1,0,0,0,1,1,1
1,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0
1,1,0,1,1,1,1,1
1,1,1,0,0,0,0,1
0,1,1,1,0,1,0,1
0,0,0,0,1,1,0,1
0,0,1,1,0,1,0,0
1,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0
1,0,1,0,0,1,0,1
1,0,1,0,1,0,0,1
0,1,1,0,1,1,0,1
1,1,0,1,0,1,0,0
1,1,1,0,0,1,1,0
1,1,1,0,0,1,1,1
0,0,0,1,1,1,0,0
1,1,1,0,1,0,1,0
0,0,1,0,1,1,0,0
1,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0
1,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0
0,0,1,0,0,1,1,0
0,0,1,0,0,0,0,1
1,1,1,1,1,1,0,0
1,1,0,0,1,1,1,1
1,0,0,0,1,1,1,1
1,0,0,1,1,1,0,0
0,0,1,1,1,0,0,0
1,1,0,0,0,0,1,1
0,1,1,0,0,0,1,1
0,1,1,1,1,1,0,1
1,1,1,0,0,0,0,1
